sample,absolute_purity,nnls,svr,cibersortx,cibersortx_smode,elastic_net,bayesian,bayesian_hierarchical,music,bisque,scdc,scdc_ensemble,epic,bayesprism
TCGA-HT-A617-01A,0.86,0.23937154820129228,0.1897875567806284,0.05657451859064321,0.02439511121465,0.12767115744344076,0.008594484063225022,3.775595229288774e-08,0.34408374744916864,0.16201888247179996,0.33315329584324155,0.33315329584324155,0.1568942927091349,0.33183562489654705
TCGA-HT-A618-01A,0.69,0.3830293568426993,0.24521127681553556,0.1156954259930311,0.1056022413220115,0.1210889548322388,0.01727634276865378,0.01081510992013938,0.31755830430615145,0.26744214294401014,0.41501898603348436,0.41501898603348436,0.19985796734296207,0.9725437490073798
TCGA-HT-A61C-01A,0.82,0.2635961601129843,0.4885829509565974,0.3044746598399916,0.04163040550973706,0.1557675076970229,0.1382340336608241,0.14781684792636085,0.5478818618212368,0.14612456994115997,0.503522832673763,0.503522832673763,0.1590708106189809,0.4897766494701853
TCGA-HT-A74H-01A,0.81,0.5977288579926509,0.08297681141121338,0.00827603404758643,0.20114989219615007,0.23975339308489332,0.0030400789438058836,6.294057922596024e-08,0.20255775438709844,0.2480150679551409,0.18117768438535384,0.18117768438535384,0.351563136700552,0.9568936910057043
TCGA-HT-A74J-01A,0.79,0.5058507141282461,0.2872414313757086,0.25964970411932975,0.08083585663462102,0.17623556238611987,0.12676483158999818,0.14067396033646315,0.5241179855816234,0.3014154743645469,0.6377633443216616,0.6377633443216616,0.26823532810128786,0.8864236124027219
TCGA-HT-A74K-01A,0.78,0.41100370156510546,0.2632482465301741,0.23319596460543954,0.09287538515692172,0.2137367479201547,0.0961668715647645,0.1013141292331889,0.3698354777887349,0.30722509195229897,0.3391817633692638,0.3391817633692638,0.2927342795978998,0.7157171089918929
TCGA-HT-A74L-01A,0.91,0.08030933744314302,0.18678694255358438,0.145847981196108,0.01500456787006875,0.047500524814925386,0.13970864587336118,0.1424148731242597,0.5010735080752445,0.28623120782883205,0.6015726965107735,0.6015726965107735,0.024363284547737323,0.26520709263517755
TCGA-HT-A74O-01A,0.83,0.45502589564514256,0.22593598195757886,0.11906816833986893,0.09081726850370539,0.12868398002989972,0.09118964110070849,0.09806666606601136,0.39307778382038283,0.17693186537529504,0.4260581261600993,0.4260581261600993,0.2708975588028971,0.9762995960732225
TCGA-HW-7486-01A,0.56,0.056836513238241584,0.030997669085495873,0.0,0.033307721200617126,0.03159909006867721,0.008896940136682206,2.463599929050351e-06,0.1928541884228866,0.09515227514786612,0.15861346699843473,0.15861346699843473,0.006793434041225701,0.07988074194984307
TCGA-HW-7487-01A,0.71,0.03454832204326089,0.08243778357959748,0.03120494625805354,0.014794960067755361,0.015843213261268106,0.09920088627413383,0.1012261240030457,0.251225167814456,0.25036959255511215,0.41528848409162633,0.41528848409162633,1.3063727249891134e-07,0.08595097695638658
