"","B","NK","CD4T","CD8T","Mono","Neutro","Eosino"
"TCGA-28-5214-01",0.0086007432635928,0.090372983250118,0.0373774135138396,0,0.694213703492752,0,0.169435156479697
"TCGA-28-5219-01",0.00245437948444584,0.180689205703354,0.15175749599093,0,0.488681142675736,0,0.176417776145535
"TCGA-12-5301-01",0,0.186686910020621,0.0339678849601369,0,0.599366394268286,0,0.179978810750956
"TCGA-4W-AA9T-01",0,0.16138948998346,0.15431027985699,0,0.659874955451638,0,0.0244252747079125
"TCGA-06-0190-01",0,0.0496924771011803,0.11382023243355,0,0.83648729046527,0,0
"TCGA-06-A7TL-01",0.17383427167465,0.00526366842901318,0.206277091792475,0,0.490809455547605,0,0.123815512556257
"TCGA-28-5215-01",0.0438159636815832,0.140957081312018,0.150884446585366,0,0.518341258688603,0,0.14600124973243
"TCGA-06-5416-01",0.0738597332262261,0.0454327223294146,0.249966309595948,0,0.471134825850634,0,0.159606408997777
"TCGA-76-4932-01",0,0.216118472782397,0.195350139931617,0,0.470221439242661,0,0.118309948043325
"TCGA-06-A7TK-01",0.0496481988496223,0.170067976274938,0.165240894052985,0,0.485213702570845,0,0.12982922825161
"TCGA-28-5204-01",0,0.162796599138416,0.11940476032807,0,0.565236678591284,0,0.15256196194223
"TCGA-26-5136-01",0.111379110692866,0.141660421288386,0.119816529252539,0,0.440520797410029,0,0.18662314135618
"TCGA-06-5417-01",0.0328114488231239,0,0.112077023803658,0.212590531066957,0.296414340466956,0,0.346106655839304
"TCGA-26-5132-01",0,0.229436152732836,0.148311280228078,0,0.407403926093409,0,0.214848640945677
"TCGA-12-5299-01",0,0.239382353604564,0.132290620216296,0,0.49675020673594,0,0.1315768194432
"TCGA-19-4065-01",0,0.0711812338683499,0.142300768811768,0,0.627756855228828,0,0.158761142091053
"TCGA-28-5218-01",0,0,0.132527872168245,0,0.8244435376866,0,0.0430285901451547
"TCGA-76-4931-01",0,0.1766190202469,0.188655647976243,0,0.530895145173793,0,0.103830186603065
"TCGA-28-5216-01",0,0.206381402635529,0.2015835710831,0,0.408902110672031,0,0.18313291560934
"TCGA-06-0125-02",0.0619231370486117,0.0643948051866311,0.096600889305575,0,0.648584939782469,0,0.128496228676714
"TCGA-4W-AA9S-01",0,0.073561869956004,0.0950764358680409,0,0.735993881573704,0,0.0953678126022511
"TCGA-76-4927-01",0.0554277334368797,0.129551154182709,0.119386989868837,0,0.5083792224696,0,0.187254900041975
"TCGA-28-5209-01",0,0.0124578900779451,0.0634728542521497,0,0.677463995924747,0,0.246605259745158
"TCGA-06-5418-01",0.0114886326320383,0.103984596044384,0.03584634979477,0,0.6248396914616,0,0.223840730067208
"TCGA-76-4929-01",0.0313039473089861,0.183260128857652,0.197890934642673,0,0.479132605708448,0,0.108412383482242
"TCGA-26-5139-01",0,0.171636680793532,0.325747116306669,0,0.381912252315486,0,0.120703950584313
"TCGA-28-5207-01",0.142664510184734,0.148487538714297,0.103387089635202,0,0.529177477159441,0,0.0762833843063269
"TCGA-76-4926-01",0,0.0878006081135929,0.152065913761669,0,0.65367692617121,0,0.106456551953527
"TCGA-26-5134-01",0.0621032659099827,0,0.137435461759038,0.0179685877077906,0.475213629581905,0,0.307279055041283
"TCGA-06-0171-01",0,0.13024024113818,0.00765865512146711,0,0.730111431464923,0,0.13198967227543
"TCGA-06-0221-01",0.111897847263249,0.0933570060394032,0.131342243595333,0.0262622120666045,0.39321952099177,0,0.243921170043641
"TCGA-28-5220-01",0.0831335561518886,0.00764405044157161,0,0.0186907288302941,0.796845021414512,0,0.0936866431617339
"TCGA-76-4928-01",0,0.0977243242715286,0.0428262111188851,0,0.428342782516534,0.431106682093053,0
"TCGA-06-5415-01",0,0.27993797115137,0.187607823745782,0,0.461428547330352,0,0.0710256577724962
"TCGA-26-5133-01",0,0,0,0.0365622581198683,0.775180355954291,0,0.188257385925841
