"","B","NK","CD4T","CD8T","Mono","Neutro","Eosino"
"TCGA-FG-5963-01",0.0652035934964218,0.0825172245344176,0.138653344832831,0,0.519376924844686,0,0.194248912291644
"TCGA-FG-5963-02",0.0553529803934004,0,0.0555701717541158,0.0391298357038015,0.539797637020482,0,0.310149375128201
"TCGA-DU-5851-01",0.0367233549858824,0.185034719303812,0.151838199360977,0,0.406441200755597,0,0.219962525593731
"TCGA-DU-A7T6-01",0,0.132273908500287,0.207210571774436,0,0.433403567190588,0,0.22711195253469
"TCGA-S9-A6TY-01",0.141038968006198,0.165783306325415,0.231934721129876,0,0.22974449569081,0,0.231498508847701
"TCGA-CS-5395-01",0.113763324238174,0.0628524723933577,0,0,0.754674432450255,0,0.0687097709182128
"TCGA-DU-7292-01",0.105092907708965,0.0769346454450989,0.175660773235199,0,0.508611817398299,0,0.133699856212438
"TCGA-HT-A5RC-01",0.0492214055892616,0.086469564931521,0.149071566048075,0,0.578215188115227,0,0.137022275315915
"TCGA-WY-A85C-01",0.151439050226387,0.194267635206254,0.283825358497926,0,0.220334666033875,0,0.150133290035557
"TCGA-DB-A4XC-01",0.108787644910403,0.103975036059758,0.271471264595656,0,0.361942809457117,0,0.153823244977067
"TCGA-TM-A84O-01",0.119047867934562,0.166234261992197,0.223097949085745,0,0.36042248303363,0,0.131197437953866
"TCGA-P5-A72W-01",0.122636583147044,0.182665501131802,0.290223858845423,0,0.257923404233919,0,0.146550652641812
"TCGA-S9-A6TU-01",0.079201488230173,0.137976385399503,0.220316822260961,0,0.388816039941668,0,0.173689264167695
"TCGA-HT-A61A-01",0.0740829868947366,0.168506255175604,0.193574026453105,0,0.450051708905358,0,0.113785022571196
"TCGA-DU-5855-01",0.117614707433856,0.115097404331972,0.132728728426656,0,0.492091210673059,0,0.142467949134457
"TCGA-HT-7884-01",0.0338581941612345,0.163279586285153,0.287065146783492,0,0.308214185004263,0,0.207582887765857
"TCGA-TQ-A7RQ-01",0.0685750065489172,0.244172445768418,0.376261453910542,0,0.164547225104172,0,0.146443868667951
"TCGA-TM-A84C-01",0.0593452021889561,0.186411548848542,0.139631497818963,0,0.476214807670186,0,0.138396943473352
"TCGA-FG-A4MW-01",0.0243854281499469,0.19312388597592,0.0213357785602619,0,0.595352635192787,0,0.165802272121084
"TCGA-IK-8125-01",0.0297602035567425,0.082779491946,0.123174997693012,0,0.547588726664279,0,0.216696580139966
"TCGA-HT-A74K-01",0.0663324531572541,0.144561202679596,0.201474224269341,0,0.447284577150248,0,0.14034754274356
"TCGA-WH-A86K-01",0.0763297306215407,0.101208214360868,0.226221332078883,0,0.518320240044717,0,0.0779204828939915
"TCGA-DB-A75P-01",0,0.139918691881304,0.146934651285319,0,0.630617551471879,0,0.0825291053614969
"TCGA-QH-A6X8-01",0.0706154997728742,0.277927857746942,0.341563967528464,0,0.266485260120848,0,0.0434074148308723
"TCGA-S9-A89V-01",0.0121853390799556,0.043066873051679,0.09358028580005,0,0.680740095596387,0,0.170427406471928
"TCGA-WY-A85E-01",0.160577966325205,0.160019523286267,0.282917590066044,0,0.29697039783831,0,0.0995145224841743
"TCGA-HT-A5R5-01",0.115580851088158,0.140312412467534,0.208241553955757,0,0.402034191540607,0,0.133830990947944
"TCGA-HT-A618-01",0.0724201134693235,0.113174210763425,0.158920074970936,0,0.458443276678746,0,0.197042324117569
"TCGA-FG-6691-01",0.0618147437413832,0.174307098977945,0.184404554051027,0,0.47279699502105,0,0.106676608208594
"TCGA-HT-7467-01",0,0.110656797095919,0.106635367060026,0,0.529817263221369,0,0.252890572622686
"TCGA-S9-A7R3-01",0.104357998551945,0.248458378280564,0.351144382459193,0,0.22056505243969,0,0.0754741882686086
"TCGA-QH-A6CX-01",0.0668469611964822,0.124323387742152,0.076483551058067,0,0.536637770930619,0,0.19570832907268
"TCGA-FG-A4MX-01",0.112414211530907,0.155156483613516,0.224408184341633,0,0.343180291904564,0,0.164840828609379
"TCGA-HT-7681-01",0.0805312088778864,0.112256081146225,0.184908444574239,0,0.334601995865061,0,0.287702269536589
