"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6","CDSeq_estimated_cell_type_7","CDSeq_estimated_cell_type_8"
"AGXT2L1",2.118701197644e-05,2.71360111149102e-06,0.000112592486685492,0.000922604043795549,0.00161558461038474,0.000155486025394456,1.59381514719414e-05,1.4046916701784e-05
"GABRB3",5.77827599357456e-06,8.14080333447305e-06,1.78718232834114e-06,0.000677881485759594,0.0016759997666725,0.00149984212188191,9.56289088316485e-06,2.34115278363066e-05
"EIF1AY",0.000390996675565212,0.000322918532267431,0.000305608178146335,0.000394003318437887,1.97911718873695e-05,0.00115538077331573,0.000247572619530823,4.68230556726132e-06
"NPTX1",0.00170459141810449,8.14080333447305e-06,4.46795582085284e-05,0.000942181848438425,0.00267805804854879,2.39209269837625e-06,7.43780402023933e-06,0.000229432972795805
"CDR1",0.000171422187809379,8.14080333447305e-06,1.78718232834114e-06,0.00813213060353477,0.00467384148729615,0.00388236644946465,2.44384989236435e-05,4.68230556726132e-06
"SLITRK4",1.73348279807237e-05,7.86944322332394e-05,3.03820995817993e-05,0.000301008746384224,0.00199890836062432,1.67446488886337e-05,3.71890201011966e-05,4.68230556726132e-06
"MAL2",1.92609199785819e-06,4.61312188953473e-05,1.2510276298388e-05,2.44722558035955e-06,0.00153433664158396,2.39209269837625e-06,1.06254343146276e-06,3.27761389708292e-05
"SAA1",0.000695319211226805,0.0037149199216312,7.68488401186689e-05,7.34167674107864e-06,5.20820312825513e-06,5.98023174594062e-05,0.000143443363247473,4.68230556726132e-06
"NEGR1",5.77827599357456e-06,2.44224100034191e-05,1.2510276298388e-05,0.000119914053437618,0.00303429914252144,0.00104534450919042,2.01883251977925e-05,4.21407501053519e-05
"AQP1",1.92609199785819e-06,2.71360111149102e-06,0.0106748400471816,7.34167674107864e-06,1.04164062565103e-06,0.00537503229325143,1.06254343146276e-06,0.0112234864447254
"MYT1L",3.27435639635892e-05,8.14080333447305e-06,5.36154698502341e-06,0.00108412093209928,0.00113434664133397,0.000227248806345744,1.06254343146276e-06,4.68230556726132e-06
"CELF4",5.58566679378874e-05,5.15584211183293e-05,1.78718232834114e-06,0.00155398824352831,0.00159475179787172,0.000188975323171724,3.50639332382711e-05,2.34115278363066e-05
"MMP9",4.04479319550219e-05,2.71360111149102e-06,1.2510276298388e-05,2.44722558035955e-06,7.29148437955718e-06,1.67446488886337e-05,0.0022026525334223,4.68230556726132e-06
"COL1A1",0.000113639427873633,8.14080333447305e-06,1.60846409550702e-05,4.16028348661123e-05,1.04164062565103e-06,7.17627809512874e-06,0.00323331966194118,4.68230556726132e-06
