sample_id,method,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
TCGA-28-1747-01C,nnls,0.9657471859450594,0.020705207230319257,0.0,0.0,0.0,0.0,0.0,0.013547606824621337
TCGA-28-1753-01A,nnls,0.8592241614883482,0.07542191367406023,0.0,0.0,0.0,0.05513598553771407,0.0,0.010217939299877465
TCGA-28-2509-01A,nnls,0.9100840856476352,0.04637597362126223,0.0,0.0,0.0,0.030871489898291405,0.0,0.012668450832811089
TCGA-28-2510-01A,nnls,0.7879330054792786,0.022418682322121297,0.0,0.0,0.0,0.024962902659060728,0.11030912433931883,0.054376285200220524
TCGA-28-2513-01A,nnls,0.8127023447784393,0.13658998697259866,0.0,0.0,0.0,0.034022466131178986,0.0,0.016685202117783012
TCGA-28-2514-01A,nnls,0.9551217022872668,0.01366948705006309,0.0,0.0,0.0,0.023646081193462808,0.0,0.00756272946920739
TCGA-28-5204-01A,nnls,0.881767880798405,0.05651522698944845,0.0,0.0,0.0,0.05594104846217527,0.0,0.005775843749971277
TCGA-28-5207-01A,nnls,0.9423811561048314,0.013665561658856795,0.0,0.0,0.0,0.0334002717697275,0.0,0.010553010466584314
TCGA-28-5208-01A,nnls,0.9025172741210009,0.05370240577459691,0.0,0.0,0.0,0.02320956763263061,0.0,0.020570752471771505
TCGA-28-5209-01A,nnls,0.9631852081431441,0.012840988354537196,0.0,0.0,0.0,0.01052896005555647,0.0,0.0134448434467622
TCGA-28-5213-01A,nnls,0.9329674276046764,0.04463145566846743,0.0,0.0,0.0,0.0,0.0,0.022401116726856216
TCGA-28-5215-01A,nnls,0.9467903324980516,0.03114264712640188,0.0,0.0,0.0,0.0,0.0019389414774369288,0.020128078898109757
TCGA-28-5216-01A,nnls,0.9648418850288305,0.017287472275102248,0.0,0.0,0.0,0.006725661354490611,0.0013863490857921627,0.009758632255784489
TCGA-28-5218-01A,nnls,0.6177821909465862,0.1551085090726523,0.0,0.00011899290769617601,0.04873521962831203,0.1674231179780472,0.010831969466706195,0.0
TCGA-28-5220-01A,nnls,0.9779317713861307,0.0002630524253520261,0.0,0.0,0.0,0.0,0.0,0.021805176188517322
TCGA-32-1970-01A,nnls,0.9753122913068468,0.00871109711389711,0.0,0.0,0.0,0.0,0.0,0.015976611579255985
TCGA-32-1980-01A,nnls,0.8501721345921721,0.07255654686634457,0.0,0.0,0.0,0.01892815361570537,0.02607188404864761,0.03227128087713034
TCGA-32-1982-01A,nnls,0.845414285478914,0.06360600746514179,0.0,0.0,0.0,0.07877112631837996,0.0,0.012208580737564369
TCGA-32-2615-01A,nnls,0.9779970541464981,0.006946656111871031,0.0,0.0,0.0,0.0,0.0,0.015056289741630898
TCGA-32-2616-01A,nnls,0.9450429966545106,0.023855124749510744,0.0,0.0,0.0,0.004847639249293001,0.0,0.026254239346685606
TCGA-32-2632-01A,nnls,0.9069929353419515,0.07344233222061858,0.0,0.0,0.0,0.0,0.0,0.01956473243742989
TCGA-32-2634-01A,nnls,0.9179772970722558,0.02573995511996624,0.0,0.0,0.0,0.02276995523466032,0.011704589984354533,0.02180820258876287
TCGA-32-2638-01A,nnls,0.9335439952850472,0.04811859542928751,0.0,0.0,0.0,0.0013026781575439035,0.0,0.01703473112812146
TCGA-32-4213-01A,nnls,0.9372634959425546,0.04077800983173253,0.0,0.0,0.0,0.0,0.0,0.021958494225712836
TCGA-32-5222-01A,nnls,0.8690341826506796,0.06158230722363128,0.0,0.0,0.0,0.0437794416936281,0.011431419873691733,0.014172648558369277
TCGA-41-2571-01A,nnls,0.9361783022676264,0.010974802581530923,0.0,0.0,0.0,0.0014037443818480826,0.04909698689647131,0.0023461638725231493
TCGA-41-2572-01A,nnls,0.9654496249802269,0.015546409022539408,0.0,0.0,0.0,0.0026338249526767043,0.0,0.01637014104455694
TCGA-41-3915-01A,nnls,0.8986632558588465,0.07116415627382008,0.0,0.0,0.0,0.020067911601642143,0.0,0.010104676265691297
TCGA-41-4097-01A,nnls,0.9527766445401212,0.014963025280155464,0.0,0.0,0.0,0.002314194782783114,0.0,0.029946135396940226
TCGA-41-5651-01A,nnls,0.970489308013995,0.003937222805045953,0.0,0.0,0.0,0.01584719525042664,0.006491015955744944,0.0032352579747875476
TCGA-76-4925-01A,nnls,0.9397546381385643,0.022107683631742456,0.0,0.0,0.0,0.012934332405722662,0.0,0.025203345823970547
TCGA-76-4926-01B,nnls,0.9794657993741823,0.0,0.0,0.0,0.0,0.0,0.0,0.020534200625817692
TCGA-76-4928-01B,nnls,0.8818769529290778,0.049254541907949964,0.0,0.0,0.0,0.05201273555834099,0.0,0.01685576960463146
TCGA-76-4929-01A,nnls,0.9698666945630493,0.0,0.0,0.0,0.0,0.0,0.0,0.030133305436950683
TCGA-76-4931-01A,nnls,0.9792965255047117,0.006390648953923869,0.0,0.0,0.0,0.0,0.0,0.01431282554136457
TCGA-02-0047-01A,svr,0.7662137736438213,0.10867692754696713,0.0,0.0,0.0,0.0712506253584931,0.023310434286768072,0.030548239163950462
TCGA-02-0055-01A,svr,0.4575652675008622,0.3417302959237211,0.0039035026080775936,0.0,0.10157653365450493,0.08920029575262461,0.0,0.006024104560209581
TCGA-02-2483-01A,svr,0.6952893252142364,0.09893238491721959,0.0,0.0,0.09071854918253341,0.1150597406860105,0.0,0.0
TCGA-02-2485-01A,svr,0.9083031501568847,0.027470903909130717,0.0,0.0,0.0,0.049707613942658616,0.0,0.014518331991326029
TCGA-02-2486-01A,svr,0.4794542610357732,0.3399905202389565,0.0,0.0,0.08161470954797481,0.045933813937514695,0.03339824692229579,0.019608448317485077
TCGA-06-0125-01A,svr,0.8768299906479645,0.03340714424637118,0.0,0.0,0.001835842010085224,0.07287014068552974,0.0,0.015056882410049465
