sample,absolute_purity,nnls,svr,cibersortx,cibersortx_smode,elastic_net,bayesian,bayesian_hierarchical,music,dwls,bisque,scdc,scdc_ensemble,epic,bayesprism
TCGA-12-3653-01A,0.95,0.2563389018404826,0.3209957327297418,0.29225349315742505,0.13998168259145763,0.14520755503290292,0.14285353597793268,0.14509938698126926,0.5195960135461826,0.20850784444419204,0.2859230076121079,0.4472816440576887,0.4472816440576887,0.15737145040490938,0.5108927429723417
TCGA-12-5295-01A,0.72,0.141554240751912,0.24207034091216895,0.1379902444018479,0.0894727452783482,0.11971415637111575,0.060544261103947894,0.06584911896621644,0.39754243411115725,0.2840681791858683,0.22833816049854488,0.3433500610841798,0.3433500610841798,0.07818585547717989,0.21740773369274163
TCGA-12-5299-01A,0.9,0.2466311159188585,0.5190996690992697,0.38400524752265974,0.17477704382280163,0.14955564480349312,0.14086431335811003,0.1414330587368145,0.6176809982680787,0.47473375017250247,0.23831048215190284,0.5068843287439554,0.5068843287439554,0.13923928135978594,0.638589085994946
TCGA-14-0736-02A,0.43,0.05881297395235879,0.0558402161307574,0.025316567680812533,0.05602240282311241,0.07552992755196666,0.050974332209366084,0.0580547411592891,0.16628952035243724,0.12365501853804184,0.13841068005954288,0.2908407273923378,0.2908407273923378,0.12150704999818329,0.10828356223160712
TCGA-14-0781-01B,0.22,0.1926141631643251,0.13916682698079277,0.06561290977515034,0.20938748895408243,0.10521330569755329,0.011408378126253827,0.01053457033694291,0.16576025527817392,0.19402681987272044,0.21436152349482707,0.1874737398933111,0.1874737398933111,0.17812960829577296,0.5676777148322908
TCGA-14-0787-01A,0.83,0.3665887141313055,0.5619646131748383,0.5680910269811085,0.20808214930349964,0.34835650118684713,0.12310468450708674,0.1348252653782711,0.592334736868971,0.44258501521106297,0.46280517170915275,0.6021640564629825,0.6021640564629825,0.2482894242765528,0.610630944754562
TCGA-14-0789-01A,0.57,0.14200837924292797,0.23863843703660814,0.11788853565701615,0.10231489070610753,0.08946809138269707,0.0394132168641392,0.041942472226414854,0.30379313832392024,0.38541159025509864,0.1775743581453031,0.29655965006587537,0.29655965006587537,0.07381871443206436,0.30999080191357425
TCGA-14-0790-01B,0.93,0.2473265193219469,0.3490824793075075,0.3492978259653005,0.12172314081775439,0.14439730998442862,0.09445168299371445,0.10455316615107181,0.409224169648509,0.021999393478459785,0.42297186936827286,0.4843981465587087,0.4843981465587087,0.13073655336540302,0.35768897592808613
TCGA-14-0817-01A,0.81,0.19347205058007386,0.2635573824823299,0.15455527085265677,0.05934832146992277,0.16378296259531328,0.061367841859020236,0.06258936476753031,0.3129020983482984,0.29295432786415887,0.157074610138908,0.2806924107119342,0.2806924107119342,0.13881657371060402,0.27227788037497774
TCGA-14-0871-01A,0.97,0.13926969902550224,0.33394362707396863,0.20271389337400758,0.05419823080925979,0.10423628867464385,0.10304620221515948,0.10481961519228958,0.40606268623652364,0.2523132595473421,0.24802486402554672,0.34263959970494784,0.34263959970494784,0.08042968235733168,0.18610429226949704
TCGA-14-1034-01A,0.7,0.2807034717976356,0.21863999771555992,0.08393495262615869,0.2444722990966344,0.15451623936660563,0.037601999161125776,0.034771468766519154,0.24448904064764598,0.30101527656075566,0.24030143082941702,0.32843269753233667,0.32843269753233667,0.15952669441256376,0.7090580849951695
TCGA-14-1034-02B,0.97,0.24232311589743244,0.6487365312027709,0.6920005757481866,0.14061756877246132,0.14343025969636536,0.16723640722746974,0.16817841007514853,0.7389723847196203,6.249024985395483e-23,0.3170230132932667,0.8309762611383932,0.8309762611383932,0.13120020835064927,0.4601418187051651
TCGA-14-1823-01A,0.69,0.3660117765271817,0.2721388022710706,0.3577211374241527,0.19116411334651512,0.18704947842563335,0.04376525801713802,0.042021139513596054,0.4157672852628824,0.39615519547902356,0.41750717995851505,0.38451147933944,0.38451147933944,0.23189327091853468,0.5515819574180788
TCGA-14-1825-01A,0.89,0.2584914936492184,0.3238728519360801,0.39694428776071483,0.23870267281744847,0.0954898399093238,0.1364757129077342,0.14886402989518338,0.5683651006603264,6.5028146383378e-20,0.24398991380134666,0.4690560146539312,0.4690560146539312,0.12455480249411559,0.6188399132312161
TCGA-14-1829-01A,0.71,0.1550878901187647,0.43149453860993675,0.19128120009026486,0.03442344703291036,0.15468949285577663,0.062108387741228475,0.07394067280372521,0.3793395246075895,0.22490972547473748,0.577702589346251,0.36559575539897693,0.36559575539897693,0.20319330707406202,0.09963246791242299
TCGA-14-2554-01A,0.81,0.2749457307929747,0.3139265462992875,0.22265612806412297,0.3339609866573239,0.1032251658582439,0.04111241485246616,0.04202366667264786,0.40836215707983986,0.3745236872652396,0.253182262264414,0.40885876678832717,0.40885876678832717,0.18113664914133001,0.6602142174288129
TCGA-15-0742-01A,0.92,0.4249390784472415,0.5814127866638786,0.5232919807052132,0.2464967495532803,0.25314206783704146,0.2088229649894188,0.22260507999709464,0.6015389968127665,0.461055222261535,0.4702065584105471,0.5370447093023563,0.5370447093023563,0.29928222803016913,0.6773784921730591
TCGA-15-1444-01A,0.59,0.24669898105013796,0.1761315226336622,0.10340183641207235,0.17555528226815129,0.08160513554978183,0.03980947165827066,0.03724480078935648,0.27195546296971956,0.20953969631434832,0.17710944225766503,0.3004972476751926,0.3004972476751926,0.13099160947049254,0.6808707921894976
TCGA-16-0846-01A,0.76,0.49294856318930924,0.2692520892628552,0.1904729639822295,0.314362133654912,0.3869459254283773,0.036933886793832055,0.039426374243301136,0.5417327869372226,0.322752659511867,0.2078148294836998,0.43079713187573565,0.43079713187573565,0.3342264249038513,0.9545152643272682
TCGA-16-1045-01B,0.63,0.3410710386002464,0.1480074957587686,0.03648497786734878,0.22359670953089864,0.17987651807322022,0.03705165287304087,0.02900426454540408,0.2376134898340018,0.24466536423835034,0.212016438842467,0.24305982331460074,0.24305982331460074,0.217144215313638,0.6490053885809676
TCGA-19-1390-01A,0.88,0.1838792707919536,0.2767166838934762,0.21455597673894602,0.04730652470963643,0.09149589758691942,0.20880076102485126,0.22402588354911834,0.5706366823536176,0.3049182034248597,0.17717527978807393,0.47083424477493935,0.47083424477493935,0.05713156983467961,0.3323007249209746
TCGA-19-1787-01B,0.78,0.17950335349575594,0.10399052475768157,0.08248635441938294,0.09628254440505134,0.1102224589352262,0.04219424336511682,0.03913597993110642,0.23433642231165747,0.2487294432466547,0.16657209552689886,0.2500538070948553,0.2500538070948553,0.11479750294835517,0.3856387544220982
TCGA-19-2619-01A,0.92,0.2754181433871707,0.31631714704413794,0.179155936442968,0.2519028915758789,0.2343280852735756,0.049681635026002285,0.054334846301846144,0.3570891929282306,0.31346489821197926,0.2995039077534091,0.39891248713451255,0.39891248713451255,0.17696215110726465,0.49671306459930753
TCGA-19-2620-01A,0.66,0.33647931641685735,0.1543075403509128,0.12891660883717102,0.23859101139325914,0.09142847196155142,0.0017164043277271587,1.2237721051413768e-10,0.22057946303215487,0.24110403614557352,0.221348516345916,0.19600634525922458,0.19600634525922458,0.24346854647922508,0.694244272726259
TCGA-19-2624-01A,0.94,0.3455089409647609,0.5808592623021807,0.6381110243453189,0.1876751940629258,0.2413125751859568,0.26370355842535137,0.2743690901954298,0.6054498350121407,0.43864614839861493,0.367509948323913,0.5713371635642887,0.5713371635642887,0.22419762580485908,0.5372377303806425
TCGA-19-2625-01A,0.64,0.6335523503815942,0.37553194197462714,0.23142659270909005,0.5427307825794803,0.5298430776007077,0.06815593354467797,0.07736138088554242,0.7569885732021399,0.4918332491506611,0.307011985813207,0.6546166206819626,0.6546166206819626,0.1807014838843961,0.9039134992081403
TCGA-19-2629-01A,0.73,0.40758823478582773,0.2598221550721911,0.2580353576031788,0.2700681075481457,0.10971192871588545,0.07428005384667669,0.07981759240825996,0.47108285038194514,0.3889237542928602,0.2756949275240798,0.4363227880322067,0.4363227880322067,0.28891384324243324,0.812351271786363
TCGA-19-4065-01A,0.58,0.1257018081030352,0.30085243855802285,0.15638592522465955,0.05929518816879811,0.10840883667150042,0.06845871022433485,0.06529767747131843,0.39492154988544187,0.3376765444955898,0.11289233490711004,0.37148681271427375,0.37148681271427375,0.06431989552833181,0.25552186789350817
