	Tumor	Macrophage_Microglia	T_cell	NK_cell	B_cell	Endothelial	Oligodendrocyte	Astrocyte
ACAP2	20.956412135894247	31.947497062087063	30.16003975991839	4.692012882388936	29.603218948119284	63.06101964471111	18.00717778797227	41.566378540366195
ACAP3	21.65707814380879	7.238944650072731	6.988856578315955	1.7390969578797169	0.9889168866970909	4.315282844830723	23.59607758472437	0.27643308394389343
ACAT1	127.19602856040908	34.35212055522514	157.3110219790727	3.35529596177104	34.15789987593871	218.1666815296124	98.81776528067796	463.4815221342241
ACAT2	148.36185179985574	52.28839403828556	94.11732873747773	2.6244778360044547	19.070782268242557	9.589794766693826	65.31373670980246	43.1775172505428
ACBD3	7.9904129514751485	8.868347597379513	8.719847004703947	6.480897615281773	5.854914703190112	3.9792051326646436	4.835987023413655	10.090653588560656
ACBD4	12.29044281576415	6.7496751730911235	10.486667048331542	10.901164801790781	81.4393085734485	1.00735239648713	6.723041044861207	40.877931235875344
ACBD5	27.854372476152854	13.846131057975354	16.03131207651032	54.474655460892926	5.337683731919139	35.3249487823748	43.527348539735165	37.115567336101826
ACBD6	115.4574082276479	53.98307116973428	98.4237209675556	3.6755865091926787	11.342360631335426	17.49266565082786	82.40432256791419	8.518104167708797
ACBD7	8.872876951034895	8.089182174613448	11.99397895330397	14.609211425800517	0.0	0.10427069806027071	5.352224828945292	12.727285289023506
ACCS	3.9799361401210556	29.299187652987026	25.88876123363339	1.0968005186828687	1.2568244095487626	1.7623824787973112	2.9040284014142643	10.280634580683067
ACCSL	0.00016858457282478513	0.0	0.0	0.0	0.0	0.0	1.2697228891895569e-05	0.0
ACD	23.882570256120776	3.5560643874236937	36.78266605061189	2.73540544985404	10.504243507200028	25.204442455008913	18.84585920038354	23.829989692293857
ACE	0.3597920705812997	5.850095600081359	0.7826836126910264	0.26528056882576195	2.055519443420559	556.9622460400471	0.08583430206150394	2.4019768771145893
ACE2	0.004490455991943364	0.00011630641536104524	0.0	0.0	0.0	0.0	9.779455779741409e-05	0.0
ACER1	0.0016350372288595244	0.0009373197659705189	0.008317836849287497	0.0	0.0	0.0	0.0	0.0
ACER2	4.985708573554587	0.5034781163723887	51.18907989092316	0.0	0.0	0.0	1.7922289285741426	0.0
ACER3	33.59513357361391	60.61867167079642	1.8362221180453207	2.7174352906087673	11.660965487800459	16.882497449547746	87.44342027811028	33.63772321939401
ACHE	65.62995041228531	5.646557906850635	43.35105326937426	0.06776078784471669	0.0	0.5856462124476697	0.4984593829462004	0.0
ACIN1	24.030399211206767	20.097997031485043	24.452464195503026	60.987109979187515	27.851056107229873	19.24783922359208	14.467597988026446	34.711537272566325
ACKR1	18.98886316695873	0.06720114926022652	259.19643817933536	0.4422583258462301	0.0	40.496776843764316	7.374772016014384	1.6864135673032281
ACKR2	0.02292563731754286	0.21168205955774386	0.001376596577203913	0.2008125840191824	0.021149389012446056	0.0	0.009284454471511813	0.006027833417590982
ACKR3	60.35688084475218	34.450723199988836	72.77121992248638	1.3729679814180462	2.5678896394999646	27.539303071543653	0.5271156849554475	22.9496694026308
ACKR4	0.0009188278889312823	0.00043455846765926573	3.3654978006366607e-05	0.0	0.0	0.002109227545721217	0.0005536245188208128	0.0
ACLY	129.34970602068935	46.437172343577615	40.00581329927023	3.547611625209414	9.799163925536782	47.464743208325025	66.58183558129474	52.98860474907617
ACMSD	0.01650672294795089	0.00034120768687658453	0.00038757105870509815	0.0	0.0	0.0	0.00911702850843221	0.0
ACO1	64.03305279682445	19.010155653644553	24.694015283770064	1.7283919737505267	3.8263974067580158	10.072633201282665	26.59494194651838	265.6084864862694
ACO2	78.0615372001323	61.946173256503094	12.515129697024753	138.9182497963657	16.252414096351288	33.720460499162	65.15102825310717	108.92622346798456
